,TEACHSTEM,WORKTYPE_FINAL,Xparent,ppagect4,EDUC4CAT,RACE_col,PPGENDER,HH_INCOME_col,PPREG4,IDEO,HARASS1,HARASS2,HARASS3,TECH3,TECH6
0,8,1,2,3,3,1,2,4,4,5,3,3,2,1,1
1,8,1,1,2,4,1,2,5,4,4,3,2,2,1,2
2,8,2,2,3,3,3,2,5,4,4,3,3,2,1,1
3,1,1,2,3,4,1,2,5,3,4,2,9,1,1,2
4,8,2,2,4,4,3,1,5,4,4,2,3,2,2,2
5,8,3,2,4,4,4,2,4,3,2, , , ,1,2
6,8,1,2,4,2,1,1,5,2,4,3,3,2,3,2
7,8,1,2,2,3,1,1,4,4,4,2,2,2,2,2
8,8,2,2,3,2,2,1,3,1,2,3,3,2,1,1
9,8,1,2,4,3,1,2,5,3,4,3,2,2,3,2
10,8,2,2,1,2,4,1,5,4,9,3,2,2,1,1
11,8,1,1,2,4,1,2,5,1,3,2,2,2,2,2
12,8,2,2,2,2,1,1,3,2,3,3,3,2,3,3
13,8,1,2,4,4,1,2,2,4,4,3,3,1,1,1
14,8,1,1,2,3,1,1,5,1,4,2,3,2,1,2
15,8,2,2,1,2,2,1,2,3,4,3,3,2,2,2
16,8,1,2,2,3,1,2,3,3,3,2,2,1,1,2
17,8,3,2,4,4,1,2,4,3,1, , , ,2,2
18,8,2,2,3,1,1,1,1,3,5,3,3,2,1,2
19,8,2,2,4,2,1,2,4,3,2,3,3,2,1,2
20,8,2,2,4,3,1,2,4,1,3,3,2,2,1,2
21,8,2,2,3,3,1,1,5,4,5,2,2,1,1,1
22,8,1,2,3,2,1,1,5,2,3,3,2,2,2,2
23,8,2,2,2,4,3,1,5,4,4,2,2,2,1,1
24,8,1,2,3,4,1,2,5,1,5,3,3,2,1,1
25,8,1,1,1,2,1,2,2,4,2,2,2,2,1,1
26,8,2,2,3,1,1,2,5,2,1,3,2,1,2,2
27,8,1,2,4,4,1,1,3,2,1,3,3,2,3,3
28,8,1,2,4,4,1,1,5,4,3,2,3,2,3,3
29,8,1,2,3,3,1,1,3,2,2,3,2,2,2,2
30,1,1,2,3,4,1,2,4,3,1,3,3,2,3,3
31,8,1,1,3,4,1,1,5,4,2,3,3,2,2,1
32,8,1,2,1,3,1,2,3,2,3,3,2,2,2,2
33,8,3,2,4,4,1,1,5,2,3, , , ,2,2
34,8,1,2,3,2,1,2,3,3,3,2,1,1,1,1
35,8,1,1,2,1,1,2,2,3,2,3,3,2,3,3
36,8,2,2,2,3,1,1,3,4,3,3,2,2,2,2
37,8,1,2,3,2,1,2,4,1,3,3,3,2,1,3
38,8,1,1,2,2,1,2,5,4,3,3,3,1,3,3
39,8,2,2,3,1,1,1,3,1,3,3,3,2,3,3
40,8,2,2,3,2,1,1,2,2,2,3,3,2,3,2
41,8,2,2,2,1,1,2,3,4,2,2,3,2,2,2
42,8,3,2,4,3,1,1,5,1,2, , , ,2,2
43,8,2,2,1,3,1,2,5,3,4,1,1,1,1,1
44,8,1,2,2,2,1,2,3,4,3,3,3,2,1,3
45,8,2,1,2,3,1,1,5,2,2,3,2,2,3,3
46,8,1,1,2,3,1,1,4,1,4,3,1,2,1,2
47,8,2,2,3,2,1,2,3,1,2,3,3,2,2,2
48,8,2,2,1,3,4,1,5,4,9,3,9,2,2,2
49,8,2,2,4,2,1,2,5,1,3,3,3,2,2,1
50,8,1,2,3,4,1,2,5,4,3,3,2,2,2,2
51,8,1,1,3,3,1,1,3,3,3,3,2,2,1,2
52,8,2,2,3,2,1,2,4,4,4,3,2,1,9,9
53,8,2,2,3,2,1,1,2,1,2,3,2,2,1,1
54,8,2,2,3,2,1,2,2,2,3,3,3,2,2,3
55,8,2,2,3,3,1,2,5,4,1,3,3,2,3,3
56,8,1,2,3,3,4,2,5,2,2,2,2,1,3,3
57,8,1,2,1,4,1,2,3,3,5,1,1,1,1,1
58,8,1,2,4,1,1,1,1,1,3,3,3,2,2,2
59,8,2,2,4,4,1,1,5,1,5,1,3,2,1,1
60,8,1,1,2,3,2,1,4,3,2,3,2,2,2,1
61,8,2,2,3,2,1,1,5,4,3,3,3,2,3,3
62,8,2,1,3,3,1,1,4,2,3,3,3,2,2,2
63,8,2,1,2,4,1,1,5,1,3,3,3,2,3,3
64,8,1,2,4,3,1,2,4,2,2,3,3,2,3,3
65,8,2,2,3,1,1,1,4,1,1,3,3,2,3,3
66,8,1,1,2,2,4,2,1,4,4,1,3,1,3,3
67,8,1,2,2,4,3,1,5,4,3,3,3,2,3,3
68,8,1,2,4,4,1,2,5,1,4,3,2,2,1,1
69,8,2,2,4,3,1,2,2,2,3,3,2,2,1,1
70,8,2,1,3,2,1,1,5,1,2,3,3,2,3,3
71,8,1,2,4,2,1,1,1,4,1,1,1,2,3,1
72,8,2,2,3,2,1,2,5,1,4,3,2,1,1,2
73,8,1,1,3,2,1,1,4,4,1,3,3,2,3,3
74,8,1,2,3,2,1,1,5,1,3,2,3,2,2,2
75,8,2,2,3,4,1,1,3,4,3,3,3,2,1,1
76,8,2,2,4,3,1,2,5,4,4,3,3,2,3,3
77,8,3,2,3,1,1,2,3,3,3, , , ,2,2
78,2,2,2,3,4,1,2,5,3,3,3,3,2,3,3
79,8,2,2,2,3,1,2,1,3,3,2,2,2,2,1
80,8,1,2,4,3,1,1,5,4,4,3,2,2,2,2
81,1,1,2,3,4,1,1,5,4,3,2,2,1,1,1
82,8,1,2,3,3,3,2,5,4,3,1,1,2,1,1
83,8,1,2,3,4,4,1,3,3,2,3,1,2,1,1
84,8,2,2,3,2,1,1,3,2,4,2,3,2,1,1
85,8,1,2,3,3,1,1,3,2,1,3,3,2,3,3
86,8,1,2,3,2,1,2,4,2,2,3,3,2,3,3
87,8,3,2,4,2,1,2,2,2,2, , , ,3,3
88,8,1,2,1,4,1,2,1,2,3,2,3,2,2,2
89,8,2,2,3,1,1,1,4,3,4,3,3,2,2,1
90,8,2,1,3,1,2,1,4,3,4,2,2,2,1,1
91,8,2,2,3,2,2,2,1,1,4,3,3,2,1,2
92,8,1,2,3,3,1,2,3,3,4,2,2,2,3,3
93,8,2,2,2,3,1,1,5,2,3,3,3,2,1,2
94,8,2,2,1,2,1,2,5,1,3,3,3,2,2,3
95,8,2,2,2,3,1,1,5,4,4,3,3,2,2,2
96,8,2,2,3,2,4,1,3,4,3,3,3,1,3,2
97,8,1,2,3,1,2,1,5,4,4,3,3,1,1,1
98,8,1,2,3,3,1,2,5,2,3,3,3,2,1,2
99,1,1,1,2,4,1,2,5,2,4,3,2,2,1,1
100,8,2,2,3,1,4,1,3,2,3,3,3,2,2,2
101,8,3,2,4,4,1,2,4,4,4, , , ,1,2
102,8,2,1,3,1,1,2,4,4,3,3,2,2,3,2
103,8,2,1,2,3,3,2,2,4,1,1,1,2,2,2
104,8,3,2,4,1,1,2,5,4,3, , , ,2,2
