,TEACHSTEM,WORKTYPE_FINAL,Xparent,ppagect4,EDUC4CAT,RACE_col,PPGENDER,HH_INCOME_col,PPREG4,IDEO,HARASS1,HARASS2,HARASS3,TECH3,TECH6
0,2,0,1,2,2,0,1,3,3,4,3,3,2,0,0
1,2,0,0,1,3,0,1,4,3,3,3,2,2,0,1
2,2,1,1,2,2,2,1,4,3,3,3,3,2,0,0
3,0,0,1,2,3,0,1,4,2,3,2,4,1,0,1
4,2,1,1,3,3,2,0,4,3,3,2,3,2,1,1
5,2,2,1,3,3,3,1,3,2,1,0,0,0,0,1
6,2,0,1,3,1,0,0,4,1,3,3,3,2,2,1
7,2,0,1,1,2,0,0,3,3,3,2,2,2,1,1
8,2,1,1,2,1,1,0,2,0,1,3,3,2,0,0
9,2,0,1,3,2,0,1,4,2,3,3,2,2,2,1
10,2,1,1,0,1,3,0,4,3,5,3,2,2,0,0
11,2,0,0,1,3,0,1,4,0,2,2,2,2,1,1
12,2,1,1,1,1,0,0,2,1,2,3,3,2,2,2
13,2,0,1,3,3,0,1,1,3,3,3,3,1,0,0
14,2,0,0,1,2,0,0,4,0,3,2,3,2,0,1
15,2,1,1,0,1,1,0,1,2,3,3,3,2,1,1
16,2,0,1,1,2,0,1,2,2,2,2,2,1,0,1
17,2,2,1,3,3,0,1,3,2,0,0,0,0,1,1
18,2,1,1,2,0,0,0,0,2,4,3,3,2,0,1
19,2,1,1,3,1,0,1,3,2,1,3,3,2,0,1
20,2,1,1,3,2,0,1,3,0,2,3,2,2,0,1
21,2,1,1,2,2,0,0,4,3,4,2,2,1,0,0
22,2,0,1,2,1,0,0,4,1,2,3,2,2,1,1
23,2,1,1,1,3,2,0,4,3,3,2,2,2,0,0
24,2,0,1,2,3,0,1,4,0,4,3,3,2,0,0
25,2,0,0,0,1,0,1,1,3,1,2,2,2,0,0
26,2,1,1,2,0,0,1,4,1,0,3,2,1,1,1
27,2,0,1,3,3,0,0,2,1,0,3,3,2,2,2
28,2,0,1,3,3,0,0,4,3,2,2,3,2,2,2
29,2,0,1,2,2,0,0,2,1,1,3,2,2,1,1
30,0,0,1,2,3,0,1,3,2,0,3,3,2,2,2
31,2,0,0,2,3,0,0,4,3,1,3,3,2,1,0
32,2,0,1,0,2,0,1,2,1,2,3,2,2,1,1
33,2,2,1,3,3,0,0,4,1,2,0,0,0,1,1
34,2,0,1,2,1,0,1,2,2,2,2,1,1,0,0
35,2,0,0,1,0,0,1,1,2,1,3,3,2,2,2
36,2,1,1,1,2,0,0,2,3,2,3,2,2,1,1
37,2,0,1,2,1,0,1,3,0,2,3,3,2,0,2
38,2,0,0,1,1,0,1,4,3,2,3,3,1,2,2
39,2,1,1,2,0,0,0,2,0,2,3,3,2,2,2
40,2,1,1,2,1,0,0,1,1,1,3,3,2,2,1
41,2,1,1,1,0,0,1,2,3,1,2,3,2,1,1
42,2,2,1,3,2,0,0,4,0,1,0,0,0,1,1
43,2,1,1,0,2,0,1,4,2,3,1,1,1,0,0
44,2,0,1,1,1,0,1,2,3,2,3,3,2,0,2
45,2,1,0,1,2,0,0,4,1,1,3,2,2,2,2
46,2,0,0,1,2,0,0,3,0,3,3,1,2,0,1
47,2,1,1,2,1,0,1,2,0,1,3,3,2,1,1
48,2,1,1,0,2,3,0,4,3,5,3,4,2,1,1
49,2,1,1,3,1,0,1,4,0,2,3,3,2,1,0
50,2,0,1,2,3,0,1,4,3,2,3,2,2,1,1
51,2,0,0,2,2,0,0,2,2,2,3,2,2,0,1
52,2,1,1,2,1,0,1,3,3,3,3,2,1,3,3
53,2,1,1,2,1,0,0,1,0,1,3,2,2,0,0
54,2,1,1,2,1,0,1,1,1,2,3,3,2,1,2
55,2,1,1,2,2,0,1,4,3,0,3,3,2,2,2
56,2,0,1,2,2,3,1,4,1,1,2,2,1,2,2
57,2,0,1,0,3,0,1,2,2,4,1,1,1,0,0
58,2,0,1,3,0,0,0,0,0,2,3,3,2,1,1
59,2,1,1,3,3,0,0,4,0,4,1,3,2,0,0
60,2,0,0,1,2,1,0,3,2,1,3,2,2,1,0
61,2,1,1,2,1,0,0,4,3,2,3,3,2,2,2
62,2,1,0,2,2,0,0,3,1,2,3,3,2,1,1
63,2,1,0,1,3,0,0,4,0,2,3,3,2,2,2
64,2,0,1,3,2,0,1,3,1,1,3,3,2,2,2
65,2,1,1,2,0,0,0,3,0,0,3,3,2,2,2
66,2,0,0,1,1,3,1,0,3,3,1,3,1,2,2
67,2,0,1,1,3,2,0,4,3,2,3,3,2,2,2
68,2,0,1,3,3,0,1,4,0,3,3,2,2,0,0
69,2,1,1,3,2,0,1,1,1,2,3,2,2,0,0
70,2,1,0,2,1,0,0,4,0,1,3,3,2,2,2
71,2,0,1,3,1,0,0,0,3,0,1,1,2,2,0
72,2,1,1,2,1,0,1,4,0,3,3,2,1,0,1
73,2,0,0,2,1,0,0,3,3,0,3,3,2,2,2
74,2,0,1,2,1,0,0,4,0,2,2,3,2,1,1
75,2,1,1,2,3,0,0,2,3,2,3,3,2,0,0
76,2,1,1,3,2,0,1,4,3,3,3,3,2,2,2
77,2,2,1,2,0,0,1,2,2,2,0,0,0,1,1
78,1,1,1,2,3,0,1,4,2,2,3,3,2,2,2
79,2,1,1,1,2,0,1,0,2,2,2,2,2,1,0
80,2,0,1,3,2,0,0,4,3,3,3,2,2,1,1
81,0,0,1,2,3,0,0,4,3,2,2,2,1,0,0
82,2,0,1,2,2,2,1,4,3,2,1,1,2,0,0
83,2,0,1,2,3,3,0,2,2,1,3,1,2,0,0
84,2,1,1,2,1,0,0,2,1,3,2,3,2,0,0
85,2,0,1,2,2,0,0,2,1,0,3,3,2,2,2
86,2,0,1,2,1,0,1,3,1,1,3,3,2,2,2
87,2,2,1,3,1,0,1,1,1,1,0,0,0,2,2
88,2,0,1,0,3,0,1,0,1,2,2,3,2,1,1
89,2,1,1,2,0,0,0,3,2,3,3,3,2,1,0
90,2,1,0,2,0,1,0,3,2,3,2,2,2,0,0
91,2,1,1,2,1,1,1,0,0,3,3,3,2,0,1
92,2,0,1,2,2,0,1,2,2,3,2,2,2,2,2
93,2,1,1,1,2,0,0,4,1,2,3,3,2,0,1
94,2,1,1,0,1,0,1,4,0,2,3,3,2,1,2
95,2,1,1,1,2,0,0,4,3,3,3,3,2,1,1
96,2,1,1,2,1,3,0,2,3,2,3,3,1,2,1
97,2,0,1,2,0,1,0,4,3,3,3,3,1,0,0
98,2,0,1,2,2,0,1,4,1,2,3,3,2,0,1
99,0,0,0,1,3,0,1,4,1,3,3,2,2,0,0
100,2,1,1,2,0,3,0,2,1,2,3,3,2,1,1
101,2,2,1,3,3,0,1,3,3,3,0,0,0,0,1
102,2,1,0,2,0,0,1,3,3,2,3,2,2,2,1
103,2,1,0,1,2,2,1,1,3,0,1,1,2,1,1
104,2,2,1,3,0,0,1,4,3,2,0,0,0,1,1
105,2,1,0,1,1,0,1,2,3,2,2,4,1,2,2
106,2,0,1,1,2,2,0,3,3,5,4,1,2,3,3
107,2,1,1,1,0,3,1,1,2,2,3,1,1,0,0
108,2,0,1,3,1,0,1,4,3,2,2,2,1,2,1
109,2,1,1,2,1,0,1,4,2,3,3,2,2,0,0
110,2,1,1,1,0,0,1,0,1,0,2,3,2,1,1
111,2,1,1,3,0,0,1,2,3,3,1,1,2,2,2
112,2,0,0,1,3,0,0,4,3,0,3,3,2,2,2
113,1,1,0,2,2,0,1,4,2,2,2,3,2,2,2
114,2,2,1,2,0,0,1,4,3,0,0,0,0,1,1
115,2,1,0,2,2,0,0,4,3,1,2,2,2,1,1
116,2,0,1,1,3,0,1,2,2,5,2,2,2,0,1
117,2,0,1,1,3,2,1,4,2,3,3,3,2,0,1
118,2,1,1,3,1,0,0,0,2,3,3,3,2,0,1
119,2,0,0,1,3,2,0,4,3,2,3,2,2,1,1
120,2,0,1,3,2,0,0,4,1,2,3,2,2,1,1
121,2,0,0,0,1,0,1,4,0,1,3,3,2,1,1
122,2,1,1,2,1,0,0,2,3,1,3,3,2,1,3
123,2,1,1,0,1,1,1,0,2,2,3,3,2,1,1
124,1,1,1,3,3,0,1,2,1,3,2,2,2,0,0
125,2,0,1,3,2,0,0,4,0,1,3,3,2,1,2
126,2,1,0,0,1,0,0,2,3,0,3,2,1,1,2
127,2,1,1,2,1,0,0,3,1,2,2,3,1,0,1
128,2,1,1,1,0,1,0,0,2,2,3,3,2,1,1
129,2,1,1,0,0,0,1,2,2,1,3,3,2,0,0
130,2,1,0,2,1,0,0,4,3,2,3,3,2,1,1
131,2,1,0,0,0,0,0,1,3,1,2,2,2,1,1
132,2,0,1,1,3,2,1,3,3,2,3,3,2,0,0
133,2,0,1,3,2,0,1,2,1,3,3,3,2,1,1
134,2,1,0,1,3,0,0,4,2,2,3,3,2,2,2
135,2,0,1,1,2,0,0,1,0,2,3,3,2,2,1
136,2,1,1,2,1,0,1,1,2,1,2,1,1,0,0
137,2,0,0,1,2,0,0,4,2,1,3,2,2,1,1
138,2,1,0,1,1,0,0,3,1,2,3,3,2,1,1
139,2,2,1,3,3,0,1,1,0,3,0,0,0,1,0
140,2,0,1,1,1,0,0,4,1,1,3,3,2,2,2
141,2,1,1,3,0,0,1,1,0,2,3,3,1,1,1
142,2,1,1,2,2,0,0,4,2,1,3,3,2,0,0
143,2,2,1,3,0,0,0,4,0,1,0,0,0,2,2
144,2,1,1,0,1,0,0,3,2,3,3,3,2,0,1
145,2,0,1,1,2,0,0,4,1,1,2,2,2,2,2
146,2,0,1,2,2,0,0,4,1,2,3,3,1,1,1
147,2,1,1,3,2,0,0,1,3,1,3,3,2,1,2
148,2,0,1,3,2,0,1,4,1,2,3,3,2,2,2
149,2,1,0,1,1,0,1,2,0,1,3,2,1,1,0
150,2,0,1,3,3,0,0,3,2,2,3,2,2,2,1
151,2,0,0,2,1,3,0,2,0,2,3,3,2,1,1
152,2,1,1,0,0,1,1,0,2,2,3,3,2,1,1
153,2,1,1,3,0,0,0,4,0,1,3,3,2,0,1
154,2,1,1,2,1,0,1,2,1,2,3,3,1,0,1
155,2,0,0,2,3,0,0,4,0,1,2,2,2,1,1
156,2,0,1,1,3,0,0,4,0,2,3,2,2,0,0
157,2,0,1,1,1,0,0,4,1,2,3,2,2,1,1
158,2,0,0,1,2,0,0,1,1,2,3,3,2,1,1
159,2,1,1,3,1,3,0,4,0,1,3,3,2,0,0
160,2,1,1,0,1,0,1,4,1,4,3,1,2,0,0
161,0,0,1,0,3,3,0,0,2,3,2,2,2,2,2
162,2,0,1,2,1,0,0,4,3,1,3,3,2,2,2
163,2,1,1,3,0,0,0,1,1,2,3,3,2,2,2
164,2,1,0,1,3,1,1,3,2,2,1,2,2,0,0
165,2,1,0,1,1,0,1,2,1,1,3,3,2,1,1
166,2,0,1,2,1,0,1,1,2,2,3,2,2,2,2
167,2,1,1,3,3,0,0,4,2,1,3,3,2,1,2
168,2,0,1,3,3,0,0,1,2,2,3,3,2,1,1
169,2,0,0,2,3,0,0,4,0,3,3,2,2,1,1
170,2,0,1,2,1,0,1,3,2,2,1,2,1,0,0
171,2,0,1,0,2,0,0,4,1,3,3,2,2,0,0
172,2,0,1,3,2,3,0,3,1,1,2,2,1,1,1
173,2,1,1,0,1,1,0,4,0,2,2,2,2,1,1
174,2,1,1,2,2,0,1,1,0,1,3,3,2,1,1
175,2,0,1,2,2,0,1,4,3,2,2,2,1,1,1
176,2,1,1,3,0,0,1,2,0,2,3,3,2,1,1
177,2,0,0,2,2,0,0,4,0,2,3,3,2,2,2
178,2,1,1,2,1,0,0,4,0,1,3,2,2,2,2
179,2,1,0,2,1,0,1,4,2,1,3,3,2,1,2
180,2,0,1,1,2,0,0,3,3,3,3,2,2,0,0
181,2,0,0,1,3,2,1,0,3,1,2,2,2,1,1
182,2,2,1,3,0,0,1,1,1,3,0,0,0,2,2
183,2,1,1,2,1,0,0,4,2,2,2,3,2,1,1
184,1,1,1,2,0,0,1,4,3,2,1,1,2,0,0
185,2,1,1,2,2,0,1,4,0,2,3,3,2,2,2
186,2,1,0,2,1,1,0,1,3,2,3,2,2,2,2
187,2,0,1,2,2,0,0,4,2,1,2,2,2,2,1
188,2,1,1,3,3,0,1,4,0,4,3,2,2,0,0
189,2,0,1,2,0,0,0,4,0,1,3,3,2,2,2
190,2,0,1,3,1,0,0,3,0,2,1,2,2,0,0
191,2,1,0,1,3,0,0,4,0,2,3,3,2,2,1
192,2,0,1,2,2,0,1,4,0,2,3,3,1,0,0
193,0,0,0,1,3,0,1,2,2,3,3,2,2,0,0
194,0,0,1,1,3,3,1,4,3,3,1,1,1,1,0
195,2,1,1,1,0,0,1,0,2,2,2,2,2,0,0
196,2,1,1,2,0,1,0,0,2,2,3,2,2,1,2
197,2,0,1,2,1,0,0,4,1,1,3,3,2,1,1
198,2,1,1,0,1,0,0,0,1,2,3,3,2,2,2
199,2,0,0,2,2,0,1,2,2,1,3,1,1,0,1
200,2,0,0,1,1,0,1,2,1,2,3,3,2,0,0
201,2,1,1,3,1,0,0,4,1,3,3,3,2,1,2
202,2,1,1,3,3,0,0,4,1,3,2,3,2,0,1
203,2,1,1,0,2,0,0,3,3,1,3,3,2,2,2
204,2,0,1,2,2,0,0,1,1,0,3,3,2,2,2
205,2,1,0,1,0,0,1,3,1,2,3,3,2,2,2
206,2,1,1,2,1,0,1,3,1,2,3,2,1,1,2
207,2,1,1,0,0,1,1,3,2,3,3,3,2,1,0
208,2,1,1,0,1,0,0,3,2,2,1,2,1,0,0
209,2,0,1,1,2,0,1,4,1,2,3,2,2,0,0
210,2,1,1,3,3,0,0,3,2,4,3,4,2,2,2
211,2,0,1,3,2,0,0,2,1,3,2,2,2,0,1
212,2,1,1,2,2,1,1,3,3,2,3,3,2,0,0
213,2,0,0,2,2,0,0,3,2,2,2,2,2,2,1
214,2,0,1,1,2,0,0,4,2,2,3,3,2,1,2
215,2,1,1,2,2,0,0,2,2,1,3,2,2,1,1
216,2,1,0,2,1,0,0,2,2,2,3,2,2,2,1
217,2,0,1,2,2,3,0,3,3,0,3,3,2,2,2
218,2,0,1,1,3,0,0,4,0,4,3,1,2,0,2
219,2,1,1,2,1,0,0,4,1,1,3,3,2,2,2
220,2,0,1,2,2,0,1,4,3,2,3,2,2,1,1
221,2,0,0,1,3,2,0,2,2,2,3,3,2,2,2
222,2,0,1,2,1,0,1,2,0,2,3,3,2,1,2
223,2,0,1,2,1,0,1,3,2,3,3,3,2,0,0
224,2,0,1,2,2,0,0,3,1,2,3,3,2,2,2
225,2,0,1,3,1,0,1,3,2,2,3,3,2,1,1
226,2,0,1,2,3,0,1,4,1,2,3,3,2,1,1
227,2,0,1,1,1,0,0,3,1,2,2,2,2,2,2
228,2,0,1,3,3,0,1,0,2,1,3,2,2,0,2
229,2,0,1,0,2,3,0,3,1,3,2,2,2,2,2
230,2,1,1,3,3,0,0,4,2,0,3,3,2,2,2
231,2,1,1,2,1,0,1,1,3,2,3,2,2,0,2
232,2,1,1,2,0,0,1,4,2,0,3,2,1,0,0
233,2,1,0,2,0,0,1,2,1,2,2,2,1,1,1
234,2,1,0,1,0,0,0,3,1,2,3,3,2,2,2
235,2,0,1,0,2,0,0,2,0,1,3,2,2,2,2
236,2,2,1,3,0,0,1,4,2,1,0,0,0,3,3
237,2,1,1,3,3,0,0,2,1,0,3,2,2,1,2
238,0,0,1,2,2,0,0,4,2,2,3,3,2,1,2
239,2,0,0,2,2,0,0,4,1,1,3,2,2,1,1
240,0,0,1,1,3,0,1,2,3,2,3,3,2,1,1
241,2,0,0,1,3,0,0,4,2,2,3,3,2,1,1
242,2,0,1,2,3,0,1,2,2,3,3,3,2,1,1
243,0,0,1,3,3,0,1,4,2,4,2,2,2,0,0
244,2,1,1,3,3,0,0,4,3,3,1,3,1,0,0
245,2,0,1,2,1,0,1,3,3,2,2,2,2,2,2
246,2,1,1,2,1,0,1,0,2,2,3,3,2,1,0
247,1,1,0,1,2,3,0,4,1,2,3,3,2,1,0
248,2,1,1,2,1,3,0,2,1,1,3,3,1,2,2
249,2,0,1,2,1,0,0,1,2,2,3,2,2,2,1
250,2,1,0,0,2,0,1,2,1,5,2,2,2,2,2
251,2,0,1,0,0,0,1,0,1,2,3,3,2,2,2
252,2,1,0,2,2,0,1,2,0,2,3,3,2,3,1
253,2,0,1,3,1,0,1,2,2,1,3,3,2,2,2
254,2,1,1,2,0,0,1,0,3,3,2,2,2,0,1
255,2,1,0,1,0,0,1,2,0,1,3,3,3,3,0
256,2,1,1,1,1,0,0,1,2,1,3,2,2,1,1
257,2,2,1,3,3,0,0,4,2,1,0,0,0,0,0
258,2,0,1,3,2,0,0,3,2,2,3,3,2,1,2
259,2,1,1,1,0,0,0,0,2,2,3,3,2,2,2
260,2,1,1,2,0,0,1,2,2,3,1,3,2,0,3
261,2,0,1,0,2,0,0,0,1,3,3,1,2,0,0
262,2,0,1,1,2,0,1,2,1,1,1,1,2,0,0
263,2,2,0,1,1,1,1,4,0,4,0,0,0,0,0
264,2,0,1,0,3,0,1,4,1,2,3,3,2,0,1
265,2,1,0,1,2,0,0,1,2,0,3,2,2,2,2
266,2,0,1,1,2,0,1,2,1,4,3,2,2,1,1
267,2,0,1,3,2,0,1,4,2,1,3,2,2,1,2
268,0,0,0,2,3,0,1,4,1,2,2,2,2,1,0
269,2,1,1,3,0,1,1,4,2,2,3,3,2,1,1
270,2,0,1,3,1,0,0,2,1,2,3,3,2,2,2
271,2,0,0,1,2,0,0,2,1,0,3,3,2,2,2
272,2,0,0,2,2,0,0,2,2,3,3,3,2,0,2
273,2,0,1,3,2,0,0,3,1,1,3,2,2,2,1
274,0,0,1,2,3,2,0,3,3,3,3,3,2,0,0
275,2,0,1,0,3,0,0,2,1,2,3,3,2,1,1
276,2,1,1,3,3,0,1,4,2,1,3,3,2,1,1
277,2,1,1,0,3,0,1,3,0,3,3,2,2,0,0
278,2,1,1,0,2,0,0,4,2,4,3,3,2,0,0
279,2,1,1,0,0,0,0,2,0,2,2,2,2,0,0
280,2,1,1,0,0,0,1,3,1,2,1,2,1,2,2
281,2,0,1,2,0,0,1,1,0,2,3,3,2,1,2
282,2,1,1,3,0,0,1,0,1,1,2,3,2,0,2
283,2,1,1,0,2,0,1,1,2,4,3,2,2,1,0
284,2,0,1,1,2,0,1,4,2,1,2,2,2,0,2
285,2,2,1,3,0,3,1,0,0,2,0,0,0,1,1
286,2,1,1,0,0,0,0,4,0,2,3,3,2,2,1
287,2,0,1,0,3,2,1,0,2,3,3,2,2,0,1
288,2,0,1,2,3,0,1,4,1,1,2,3,1,1,1
289,2,1,1,2,2,0,1,0,3,1,3,3,2,2,2
290,2,1,1,1,1,1,0,1,2,2,2,2,2,1,1
291,2,0,0,1,1,0,1,4,0,1,2,2,2,0,2
292,2,0,1,3,3,0,1,2,0,2,3,2,1,0,0
293,2,1,0,1,3,0,1,4,0,3,1,2,2,1,1
294,2,1,1,2,0,0,1,4,0,1,3,2,1,3,2
295,2,1,1,1,0,0,1,1,0,2,1,1,2,0,0
296,2,0,1,2,3,0,0,3,0,2,3,3,2,2,2
297,2,1,1,3,0,0,0,3,0,1,3,3,2,1,1
298,2,1,1,1,1,1,0,3,0,3,3,2,2,0,0
299,2,0,0,1,2,0,0,4,2,3,2,2,2,0,0
300,2,0,0,0,2,0,0,1,3,2,3,3,2,2,2
301,2,0,0,1,3,0,1,4,0,1,3,3,1,1,2
302,2,0,1,3,2,0,0,4,3,2,1,2,2,1,2
303,2,1,1,3,1,0,0,2,1,2,2,2,2,1,1
304,2,1,1,2,0,0,0,4,3,2,3,2,2,1,2
305,2,0,1,2,1,0,1,4,0,3,3,2,2,0,0
306,2,0,1,1,2,0,0,4,1,2,3,3,2,1,1
307,2,1,1,2,3,0,1,1,1,4,3,2,1,0,1
308,2,0,0,1,2,0,0,1,3,3,3,3,2,1,1
309,2,0,1,3,3,0,1,3,2,3,2,2,2,0,0
310,1,1,1,3,3,0,1,3,3,4,3,2,2,0,0
311,2,1,1,2,1,0,0,4,2,1,2,3,1,1,2
312,0,0,1,3,3,0,0,3,0,3,3,2,2,1,1
313,2,0,1,2,2,0,0,4,1,3,3,1,2,0,1
314,2,0,1,2,2,0,0,4,0,0,3,3,2,2,2
315,2,1,1,2,0,0,0,4,3,2,2,2,2,0,0
316,2,1,1,0,3,1,1,1,2,2,2,1,2,0,0
317,2,2,1,3,1,0,0,0,2,1,0,0,0,2,2
318,2,0,1,3,2,0,1,3,3,3,2,2,1,0,0
319,2,0,1,1,1,2,0,4,3,1,3,3,2,2,2
320,2,1,1,3,1,0,0,4,2,1,2,2,2,0,0
321,2,2,1,3,0,0,1,0,2,2,0,0,0,0,1
322,2,1,1,3,1,1,0,1,2,2,3,2,2,1,0
323,2,0,1,3,2,3,0,4,3,3,3,3,2,1,1
324,0,0,1,1,3,0,1,4,3,3,3,3,2,0,0
325,2,1,0,1,1,0,0,3,2,2,3,3,2,1,0
326,2,0,1,2,1,1,1,4,2,2,3,1,2,0,0
327,2,1,1,0,2,3,0,4,3,1,3,2,2,1,2
328,2,2,1,3,3,0,1,4,1,2,0,0,0,1,1
329,2,0,0,1,1,0,0,0,2,1,3,3,2,1,1
330,2,1,0,1,1,0,1,4,1,2,2,3,2,2,2
331,2,1,1,1,1,1,0,2,2,2,2,3,2,2,2
332,2,0,0,2,3,0,0,4,3,2,3,2,2,0,1
333,2,0,1,3,2,2,0,3,3,2,3,3,2,1,0
334,2,0,0,1,2,0,0,4,1,3,3,2,2,1,1
335,2,1,0,1,2,0,0,4,3,1,3,3,2,1,1
336,2,1,1,2,1,1,1,3,1,3,3,1,2,0,0
337,2,1,1,2,0,0,1,0,0,3,1,1,2,1,0
338,2,0,1,1,2,0,1,3,1,2,3,3,2,2,2
339,2,1,1,3,3,0,1,4,1,2,3,3,1,0,2
340,2,1,1,2,1,0,1,4,1,1,3,3,2,1,2
341,2,0,0,1,1,0,1,4,2,1,3,3,2,2,2
342,2,1,0,1,2,0,1,4,1,1,2,3,1,1,2
343,2,0,1,2,2,0,1,0,2,0,3,3,2,2,2
344,2,1,1,0,2,0,0,3,2,2,2,2,2,2,2
345,2,0,0,1,1,0,0,1,2,1,3,2,2,1,1
346,2,1,0,1,0,0,1,0,0,3,2,2,2,0,0
347,2,1,0,1,3,3,1,4,2,2,2,2,2,1,0
348,2,0,1,3,2,0,0,4,2,1,2,2,2,1,2
349,2,0,0,2,1,0,1,2,1,1,3,3,1,0,1
350,2,0,1,3,3,0,0,4,2,1,3,2,2,2,1
351,2,0,1,2,2,2,1,4,0,3,3,3,2,0,1
352,2,0,0,1,2,0,1,2,3,3,3,2,2,0,0
353,2,0,0,2,2,0,1,4,1,2,3,2,2,1,1
354,2,0,0,2,3,1,0,4,2,1,1,2,1,1,1
355,2,0,1,2,1,0,1,4,2,2,3,3,2,2,2
356,2,1,1,2,1,3,1,4,1,3,3,2,2,0,0
357,2,1,1,0,2,3,1,0,3,3,3,3,2,0,0
358,2,0,0,2,3,0,0,4,0,2,3,3,2,0,0
359,2,1,1,1,3,0,1,2,2,2,2,2,1,1,1
360,2,1,1,1,2,0,1,2,0,2,3,2,1,1,1
361,2,0,1,1,2,0,1,4,3,2,3,3,2,1,1
362,2,0,1,3,1,0,1,1,1,2,2,3,1,1,1
363,2,0,1,2,2,0,1,4,0,2,3,2,2,1,1
364,2,1,1,0,1,0,1,0,1,1,3,3,2,0,2
365,2,0,1,1,1,0,1,2,1,4,3,3,2,0,0
366,2,1,1,2,0,0,0,1,2,1,3,2,2,1,1
367,2,1,1,2,3,1,1,4,2,4,1,1,2,0,0
368,2,0,0,2,3,0,0,4,1,2,3,3,2,2,2
369,2,0,1,0,0,0,0,1,2,2,3,3,2,2,2
370,2,0,1,1,2,0,1,4,1,4,1,1,1,0,0
371,2,0,1,2,1,0,0,3,2,3,3,2,2,1,1
372,2,0,1,3,3,0,0,4,1,2,3,3,2,2,2
373,2,1,1,1,3,0,1,4,2,3,3,3,2,0,0
374,2,0,1,2,2,0,1,1,2,1,3,2,2,1,1
375,2,0,1,1,2,3,0,2,3,1,3,2,2,1,1
376,2,0,1,3,3,0,0,4,0,3,2,2,2,1,0
377,2,1,1,0,1,0,0,4,1,1,3,3,2,2,2
378,2,0,1,3,2,0,1,2,3,3,3,3,2,2,1
379,2,1,1,3,1,0,1,3,3,3,1,1,1,0,0
